id cond rt
4 2 0.839
4 2 0.667
4 2 0.743
4 2 0.847
4 2 0.999
4 2 0.61
4 2 0.789
4 2 1.02
4 2 0.758
4 2 0.898
4 2 0.957
4 2 0.907
4 2 0.995
4 2 0.829
4 2 0.778
4 2 0.519
4 2 0.835
4 2 0.943
4 2 0.967
4 2 0.755
4 2 1.33
4 2 0.911
4 2 0.878
4 2 1.163
4 2 0.73
5 1 0.73
5 1 1.464
5 1 0.805
5 1 1.191
5 1 0.604
5 1 0.771
5 1 0.874
5 1 0.859
5 1 0.654
5 1 0.806
5 1 0.645
5 1 0.946
5 1 1.035
5 1 0.531
5 1 1.075
5 1 0.626
5 1 0.89
5 1 0.934
5 1 0.769
5 1 0.701
5 1 0.833
5 1 0.887
5 1 0.985
5 1 0.545
5 1 0.584
5 1 1.13
5 1 1.026
5 1 0.886
5 1 0.946
5 1 0.993
5 1 0.498
5 1 1.042
5 1 0.725
5 1 0.845
5 1 0.754
5 1 0.983
5 1 0.745
5 1 0.903
5 1 0.739
5 1 0.643
5 1 1.068
5 1 0.952
5 1 1.22
5 1 0.815
5 1 1.046
5 1 1.304
5 1 0.756
5 1 0.617
5 1 0.763
5 1 0.767
5 2 0.886
5 2 1.312
5 2 0.796
5 2 0.933
5 2 0.813
5 2 0.86
5 2 0.921
5 2 1.185
5 2 0.88
5 2 1.013
5 2 1.03
5 2 1.066
5 2 0.755
5 2 1.282
5 2 0.787
5 2 0.836
5 2 1.209
5 2 1.174
5 2 0.68
5 2 0.71
5 2 0.646
5 2 0.892
5 2 0.889
5 2 0.932
5 2 0.974
5 2 0.75
5 2 0.693
5 2 1.096
5 2 1.023
5 2 0.628
5 2 0.838
5 2 0.706
5 2 0.569
5 2 0.886
5 2 0.841
5 2 0.837
5 2 0.9
5 2 1.057
5 2 0.897
5 2 0.748
5 2 0.73
5 2 0.831
5 2 0.92
5 2 0.686
5 2 0.821
5 2 1.08
5 2 0.835
5 2 0.735
5 2 0.805
5 2 1.121
6 1 1.015
6 1 1.209
6 1 0.919
6 1 0.981
6 1 0.785
6 1 1.029
6 1 0.794
6 1 0.659
6 1 0.917
6 1 1.465
6 1 1.08
6 1 1.186
6 1 0.968
6 1 0.776
6 1 0.849
6 1 0.836
6 1 0.8
6 1 1.054
6 1 0.688
6 1 1.098
6 1 1.098
6 1 0.688
6 1 1.037
6 1 1.68
6 1 0.785
6 1 1.092
6 1 0.748
6 1 1.17
6 1 0.943
6 1 1.351
6 1 0.654
6 1 0.879
6 1 0.79
6 1 0.85
6 1 0.773
6 1 0.74
6 1 1.022
6 1 0.703
6 1 1.291
6 1 0.689
6 1 0.911
6 1 1.01
6 1 1.024
6 1 0.83
6 1 0.906
6 1 1.125
6 1 0.654
6 1 0.748
6 1 0.959
6 1 0.805
6 2 1.352
6 2 1.125
6 2 0.968
6 2 0.684
6 2 0.957
6 2 0.883
6 2 0.929
6 2 0.731
6 2 1.076
6 2 0.753
6 2 0.902
6 2 1.045
6 2 0.795
6 2 1.099
6 2 0.711
6 2 0.544
6 2 1.067
6 2 1.174
6 2 0.889
6 2 1.077
6 2 0.735
6 2 0.923
6 2 0.63
6 2 1.285
6 2 1.549
6 2 1.249
6 2 0.945
6 2 0.944
6 2 0.683
6 2 1.159
6 2 0.905
6 2 0.818
6 2 0.697
6 2 0.887
6 2 0.784
6 2 0.867
6 2 0.725
6 2 1.476
6 2 0.948
6 2 1.249
6 2 0.562
6 2 0.856
6 2 0.814
6 2 0.725
6 2 1.419
6 2 0.697
6 2 1.028
6 2 1.176
6 2 0.993
6 2 0.78
7 1 1.023
7 1 0.852
7 1 0.658
7 1 0.62
7 1 1.379
7 1 0.71
7 1 0.572
7 1 0.927
7 1 0.88
7 1 0.624
7 1 0.563
7 1 0.799
7 1 1.075
7 1 0.95
7 1 0.738
7 1 0.688
7 1 0.872
7 1 0.849
7 1 0.948
7 1 0.753
7 1 1.012
7 1 0.689
7 1 0.763
7 1 0.974
7 1 1.035
7 1 0.564
7 1 0.84
7 1 0.943
7 1 0.613
7 1 0.915
7 1 0.689
7 1 1.043
7 1 0.928
7 1 0.981
7 1 0.842
7 1 1.004
7 1 1.143
7 1 1.335
7 1 0.815
7 1 0.537
7 1 0.826
7 1 0.859
7 1 0.792
7 1 0.934
7 1 1.041
7 1 0.734
7 1 0.769
7 1 0.898
7 1 0.729
7 1 0.837
7 2 0.589
7 2 0.688
7 2 0.661
7 2 0.726
7 2 0.751
7 2 0.957
7 2 1.11
7 2 0.746
7 2 0.705
7 2 0.699
7 2 0.797
7 2 0.829
7 2 0.981
7 2 0.814
7 2 0.578
7 2 0.857
7 2 1.171
7 2 1.172
7 2 0.736
7 2 0.634
7 2 1.659
7 2 0.843
7 2 0.855
7 2 0.966
7 2 0.627
7 2 0.745
7 2 0.635
7 2 0.751
7 2 0.899
7 2 0.656
7 2 1.007
7 2 0.936
7 2 0.719
7 2 0.922
7 2 1.047
7 2 1.133
7 2 0.833
7 2 0.856
7 2 0.858
7 2 1.252
7 2 1.152
7 2 1.07
7 2 0.82
7 2 0.955
7 2 0.962
7 2 0.699
7 2 0.614
7 2 1.019
7 2 0.636
7 2 0.875
8 1 0.778
8 1 0.833
8 1 0.768
8 1 0.639
8 1 0.918
8 1 1.104
8 1 0.896
8 1 0.522
8 1 1.014
8 1 0.729
8 1 0.826
8 1 0.844
8 1 0.723
8 1 0.726
8 1 0.925
8 1 0.861
8 1 0.919
8 1 1.308
8 1 0.852
8 1 0.771
8 1 0.502
8 1 1.423
8 1 0.67
8 1 1.305
8 1 0.799
8 1 1.05
8 1 0.721
8 1 0.823
8 1 0.772
8 1 0.71
8 1 0.72
8 1 0.924
8 1 0.708
8 1 0.514
8 1 0.709
8 1 0.829
8 1 0.843
8 1 0.843
8 1 0.542
8 1 0.798
8 1 0.914
8 1 0.984
8 1 0.704
8 1 0.691
8 1 1.037
8 1 0.544
8 1 0.676
8 1 0.814
8 1 0.548
8 1 0.783
8 2 1.233
8 2 0.783
8 2 0.739
8 2 0.871
8 2 0.739
8 2 0.943
8 2 0.964
8 2 0.784
8 2 0.62
8 2 0.605
8 2 0.693
8 2 0.939
8 2 0.544
8 2 0.55
8 2 0.685
8 2 0.855
8 2 0.651
8 2 0.96
8 2 0.843
8 2 0.756
8 2 0.944
8 2 0.854
8 2 0.714
8 2 0.824
8 2 0.907
8 2 0.848
8 2 0.684
8 2 0.952
8 2 1.024
8 2 0.833
8 2 0.809
8 2 0.771
8 2 1.33
8 2 0.833
8 2 0.758
8 2 0.501
8 2 0.58
8 2 0.771
8 2 0.82
8 2 0.833
8 2 0.945
8 2 0.752
8 2 1.04
8 2 0.65
8 2 0.617
8 2 0.615
8 2 0.927
8 2 0.77
8 2 0.938
8 2 0.74
9 1 0.677
9 1 0.708
9 1 0.542
9 1 0.608
9 1 0.58
9 1 0.971
9 1 0.676
9 1 0.911
9 1 1.088
9 1 0.734
9 1 0.812
9 1 0.551
9 1 0.648
9 1 0.773
9 1 0.815
9 1 0.655
9 1 1.487
9 1 0.695
9 1 0.774
9 1 0.882
9 1 0.759
9 1 0.67
9 1 0.968
9 1 1.116
9 1 0.759
9 1 0.864
9 1 0.748
9 1 0.962
9 1 0.609
9 1 1.345
9 1 0.675
9 1 0.578
9 1 0.71
9 1 0.788
9 1 1.118
9 1 0.938
9 1 0.787
9 1 0.585
9 1 0.642
9 1 0.738
9 1 1.433
9 1 0.542
9 1 0.989
9 1 0.685
9 1 1.131
9 1 0.611
9 1 0.788
9 1 0.616
9 1 0.936
9 1 1.079
9 2 1.314
9 2 0.977
9 2 1.277
9 2 1.093
9 2 0.789
9 2 0.905
9 2 0.665
9 2 0.78
9 2 1.086
9 2 0.919
9 2 0.901
9 2 0.656
9 2 0.715
9 2 0.692
9 2 0.888
9 2 0.662
9 2 0.924
9 2 0.647
9 2 1.272
9 2 0.902
9 2 0.701
9 2 0.857
9 2 0.753
9 2 0.883
9 2 0.858
9 2 0.659
9 2 0.688
9 2 0.869
9 2 1.209
9 2 1.049
9 2 0.712
9 2 0.984
9 2 0.804
9 2 0.869
9 2 0.861
9 2 1.562
9 2 0.638
9 2 0.831
9 2 0.575
9 2 0.93
9 2 1.052
9 2 1.15
9 2 0.561
9 2 0.892
9 2 1.195
9 2 0.743
9 2 0.776
9 2 0.806
9 2 0.882
9 2 0.947
10 1 1.053
10 1 0.759
10 1 0.809
10 1 1.435
10 1 0.852
10 1 0.807
10 1 0.597
10 1 0.775
10 1 0.74
10 1 0.773
10 1 0.688
10 1 0.673
10 1 0.669
10 1 0.741
10 1 1.067
10 1 0.986
10 1 0.719
10 1 0.563
10 1 0.653
10 1 0.705
10 1 0.792
10 1 0.677
10 1 1.259
10 1 0.732
10 1 0.611
10 1 0.752
10 1 0.634
10 1 0.802
10 1 0.815
10 1 0.838
10 1 0.569
10 1 0.813
10 1 0.829
10 1 0.589
10 1 0.964
10 1 0.925
10 1 1.362
10 1 0.802
10 1 0.783
10 1 0.791
10 1 0.787
10 1 0.549
10 1 0.565
10 1 0.762
10 1 0.688
10 1 0.784
10 1 0.527
10 1 0.581
10 1 0.623
10 1 0.971
10 2 0.657
10 2 0.697
10 2 0.84
10 2 0.769
10 2 0.852
10 2 1.476
10 2 0.654
10 2 0.772
10 2 0.738
10 2 1.191
10 2 0.701
10 2 0.81
10 2 0.991
10 2 0.662
10 2 1.237
10 2 0.965
10 2 0.66
10 2 0.915
10 2 0.787
10 2 0.886
10 2 0.809
10 2 1.063
10 2 0.627
10 2 0.737
10 2 0.781
10 2 0.67
10 2 0.665
10 2 0.822
10 2 0.801
10 2 0.515
10 2 1.056
10 2 0.873
10 2 1.523
10 2 0.967
10 2 0.749
10 2 1.697
10 2 1.714
10 2 0.643
10 2 0.919
10 2 0.787
10 2 0.86
10 2 0.868
10 2 0.637
10 2 0.88
10 2 1.268
10 2 0.796
10 2 0.796
10 2 1.156
10 2 1.019
10 2 0.595
11 1 0.908
11 1 1.301
11 1 1.221
11 1 0.95
11 1 1.022
11 1 0.669
11 1 0.923
11 1 0.702
11 1 0.778
11 1 1.079
11 1 0.677
11 1 0.916
11 1 0.952
11 1 0.872
11 1 1.362
11 1 0.692
11 1 0.994
11 1 0.844
11 1 0.812
11 1 0.96
11 1 0.693
11 1 0.654
11 1 0.772
11 1 1.336
11 1 0.872
11 1 0.93
11 1 0.825
11 1 0.962
11 1 0.702
11 1 1.142
11 1 0.989
11 1 0.723
11 1 0.872
11 1 1.021
11 1 0.982
11 1 1.243
11 1 0.753
11 1 1.129
11 1 1.107
11 1 0.83
11 1 0.699
11 1 0.683
11 1 0.959
11 1 0.847
11 1 1.346
11 1 0.977
11 1 0.793
11 1 0.692
11 1 0.758
11 1 0.933
11 2 0.83
11 2 1.043
11 2 0.852
11 2 0.898
11 2 0.78
11 2 1.508
11 2 0.997
11 2 0.972
11 2 0.643
11 2 1.081
11 2 0.734
11 2 0.754
11 2 1.155
11 2 0.829
11 2 0.636
11 2 1.452
11 2 0.57
11 2 1.058
11 2 1.186
11 2 0.797
11 2 1.025
11 2 1.023
11 2 1.193
11 2 1.035
11 2 0.869
11 2 1.155
11 2 1.121
11 2 0.747
11 2 0.68
11 2 0.956
11 2 0.864
11 2 0.739
11 2 0.939
11 2 0.691
11 2 0.956
11 2 0.798
11 2 1.167
11 2 1.749
11 2 0.75
11 2 1.198
11 2 1.128
11 2 0.905
11 2 0.829
11 2 1.377
11 2 0.607
11 2 0.795
11 2 0.675
11 2 1.311
11 2 0.88
11 2 0.816
12 1 1.869
12 1 0.806
12 1 0.741
12 1 0.872
12 1 0.597
12 1 0.911
12 1 0.798
12 1 0.907
12 1 0.665
12 1 0.66
12 1 0.704
12 1 0.693
12 1 1.111
12 1 1.195
12 1 0.787
12 1 0.754
12 1 0.759
12 1 0.827
12 1 0.833
12 1 0.87
12 1 0.696
12 1 0.683
12 1 1.083
12 1 0.725
12 1 0.872
12 1 0.805
12 1 0.668
12 1 0.933
12 1 0.847
12 1 1.14
12 1 0.836
12 1 0.758
12 1 0.867
12 1 0.64
12 1 0.684
12 1 0.915
12 1 0.758
12 1 0.803
12 1 0.794
12 1 0.71
12 1 0.554
12 1 0.882
12 1 0.972
12 1 0.628
12 1 1.165
12 1 0.889
12 1 1.123
12 1 0.668
12 1 0.846
12 1 0.797
12 2 1.045
12 2 0.765
12 2 0.867
12 2 0.605
12 2 0.733
12 2 0.894
12 2 0.744
12 2 0.86
12 2 0.783
12 2 1.004
12 2 1.156
12 2 0.727
12 2 0.811
12 2 1.242
12 2 0.564
12 2 0.809
12 2 1.472
12 2 1.526
12 2 0.901
12 2 0.721
12 2 0.903
12 2 0.753
12 2 1.246
12 2 0.729
12 2 0.948
12 2 1.007
12 2 0.736
12 2 1.066
12 2 0.738
12 2 1.009
12 2 1.135
12 2 0.703
12 2 1.138
12 2 0.779
12 2 0.931
12 2 0.911
12 2 0.79
12 2 0.925
12 2 0.67
12 2 0.842
12 2 1.06
12 2 0.566
12 2 0.638
12 2 0.679
12 2 0.626
12 2 0.959
12 2 0.702
12 2 0.567
12 2 0.755
12 2 0.796
13 1 0.998
13 1 0.651
13 1 1.076
13 1 0.894
13 1 0.887
13 1 0.684
13 1 1.324
13 1 0.788
13 1 0.573
13 1 0.781
13 1 0.563
13 1 0.764
13 1 0.746
13 1 0.956
13 1 1.036
13 1 0.701
13 1 0.985
13 1 1.151
13 1 0.693
13 1 0.711
13 1 0.949
13 1 0.851
13 1 0.926
13 1 1.145
13 1 0.892
13 1 1.047
13 1 0.943
13 1 0.902
13 1 0.892
13 1 1.112
13 1 0.664
13 1 0.651
13 1 0.936
13 1 0.796
13 1 0.83
13 1 0.97
13 1 0.973
13 1 0.771
13 1 0.763
13 1 0.83
13 1 1.05
13 1 0.9
13 1 1.154
13 1 0.816
13 1 1.066
13 1 1.004
13 1 0.94
13 1 0.898
13 1 0.769
13 1 0.798
13 2 0.919
13 2 0.881
13 2 1.095
13 2 0.85
13 2 0.857
13 2 0.782
13 2 0.844
13 2 0.858
13 2 0.554
13 2 0.654
13 2 0.857
13 2 0.821
13 2 0.675
13 2 0.585
13 2 0.805
13 2 1.018
13 2 1.363
13 2 0.864
13 2 1.263
13 2 0.888
13 2 0.895
13 2 0.94
13 2 0.721
13 2 0.861
13 2 1.085
13 2 0.739
13 2 0.81
13 2 0.682
13 2 0.947
13 2 0.963
13 2 1.017
13 2 0.673
13 2 0.893
13 2 0.711
13 2 0.871
13 2 1.214
13 2 0.779
13 2 1.034
13 2 0.739
13 2 0.783
13 2 0.966
13 2 0.75
13 2 0.615
13 2 1.189
13 2 0.948
13 2 0.766
13 2 0.584
13 2 1.412
13 2 2.171
13 2 0.914
14 1 0.976
14 1 1.071
14 1 0.693
14 1 0.744
14 1 0.574
14 1 0.688
14 1 0.924
14 1 0.754
14 1 0.766
14 1 0.783
14 1 0.562
14 1 0.973
14 1 0.603
14 1 0.767
14 1 0.731
14 1 0.765
14 1 1.137
14 1 0.71
14 1 0.682
14 1 0.595
14 1 0.679
14 1 0.634
14 1 0.879
14 1 0.671
14 1 0.858
14 1 0.777
14 1 0.604
14 1 0.681
14 1 0.984
14 1 0.989
14 1 1.313
14 1 0.801
14 1 0.597
14 1 0.684
14 1 0.879
14 1 1.276
14 1 0.822
14 1 1.048
14 1 0.957
14 1 0.634
14 1 0.773
14 1 1.093
14 1 0.982
14 1 0.891
14 1 0.893
14 1 0.723
14 1 0.616
14 1 1.09
14 1 0.605
14 1 0.661
14 2 0.992
14 2 0.657
14 2 0.757
14 2 0.667
14 2 0.99
14 2 0.949
14 2 0.943
14 2 0.948
14 2 0.974
14 2 0.994
14 2 0.579
14 2 0.827
14 2 0.877
14 2 1.015
14 2 0.666
14 2 0.766
14 2 0.681
14 2 1.103
14 2 1.168
14 2 1.031
14 2 0.662
14 2 0.95
14 2 1.13
14 2 0.889
14 2 0.755
14 2 0.679
14 2 0.74
14 2 1.013
14 2 0.777
14 2 0.901
14 2 1.173
14 2 0.979
14 2 1.195
14 2 0.606
14 2 0.803
14 2 0.868
14 2 0.979
14 2 0.669
14 2 1.036
14 2 0.918
14 2 0.909
14 2 0.963
14 2 0.833
14 2 1.067
14 2 0.996
14 2 0.826
14 2 1.099
14 2 0.915
14 2 1.001
14 2 0.751
15 1 1.117
15 1 0.769
15 1 0.932
15 1 0.754
15 1 0.726
15 1 0.918
15 1 0.57
15 1 0.855
15 1 0.839
15 1 0.483
15 1 0.834
15 1 0.52
15 1 0.892
15 1 0.701
15 1 0.668
15 1 0.769
15 1 1.06
15 1 0.676
15 1 0.871
15 1 0.829
15 1 0.611
15 1 0.555
15 1 0.534
15 1 0.87
15 1 0.764
15 1 1.198
15 1 0.874
15 1 0.932
15 1 1.049
15 1 0.694
15 1 0.862
15 1 0.937
15 1 1.059
15 1 0.913
15 1 0.844
15 1 0.647
15 1 0.906
15 1 0.86
15 1 0.886
15 1 0.845
15 1 0.738
15 1 0.757
15 1 0.897
15 1 0.799
15 1 0.651
15 1 0.724
15 1 0.596
15 1 0.635
15 1 0.747
15 1 0.55
15 2 0.587
15 2 1.064
15 2 0.724
15 2 0.572
15 2 0.799
15 2 1.124
15 2 0.955
15 2 0.906
15 2 1.086
15 2 0.696
15 2 0.97
15 2 0.723
15 2 0.819
15 2 1.427
15 2 1.029
15 2 0.979
15 2 0.652
15 2 0.694
15 2 1.455
15 2 0.654
15 2 0.86
15 2 1.01
15 2 1.042
15 2 1.06
15 2 0.79
15 2 0.689
15 2 0.766
15 2 0.679
15 2 0.947
15 2 1.068
15 2 1.393
15 2 0.89
15 2 0.682
15 2 1.043
15 2 1.013
15 2 0.778
15 2 0.601
15 2 0.978
15 2 1.071
15 2 0.768
15 2 0.926
15 2 0.771
15 2 0.959
15 2 0.798
15 2 0.76
15 2 0.84
15 2 0.77
15 2 0.722
15 2 0.765
15 2 0.818
16 1 0.938
16 1 1.315
16 1 0.669
16 1 0.854
16 1 1.041
16 1 1.4
16 1 0.989
16 1 0.891
16 1 0.833
16 1 0.986
16 1 1.139
16 1 0.857
16 1 0.929
16 1 0.941
16 1 1.066
16 1 1.176
16 1 0.955
16 1 0.878
16 1 1.267
16 1 0.929
16 1 1.331
16 1 0.881
16 1 1.036
16 1 0.646
16 1 0.871
16 1 0.889
16 1 0.755
16 1 0.713
16 1 1.127
16 1 1.118
16 1 0.677
16 1 0.989
16 1 0.702
16 1 0.711
16 1 1.014
16 1 0.767
16 1 1.141
16 1 0.902
16 1 1.016
16 1 0.794
16 1 0.697
16 1 1.118
16 1 0.945
16 1 0.846
16 1 0.908
16 1 1.244
16 1 0.765
16 1 0.757
16 1 0.778
16 1 0.641
16 2 1.174
16 2 1.002
16 2 1.006
16 2 0.946
16 2 0.849
16 2 0.792
16 2 1.184
16 2 0.698
16 2 1.066
16 2 0.797
16 2 1.024
16 2 0.806
16 2 0.846
16 2 1.519
16 2 1.129
16 2 0.61
16 2 0.986
16 2 0.86
16 2 0.741
16 2 1.006
16 2 0.987
16 2 0.885
16 2 1.609
16 2 0.599
16 2 1.18
16 2 0.893
16 2 1.126
16 2 0.86
16 2 0.833
16 2 0.661
16 2 0.91
16 2 1.862
16 2 1.228
16 2 1.48
16 2 1.204
16 2 1.279
16 2 1.2
16 2 1.075
16 2 0.835
16 2 0.845
16 2 0.675
16 2 0.955
16 2 1.199
16 2 1.242
16 2 0.978
16 2 0.842
16 2 2.376
16 2 1.149
16 2 1.379
16 2 0.883
17 1 0.815
17 1 0.911
17 1 1.239
17 1 0.768
17 1 1.004
17 1 0.551
17 1 0.737
17 1 0.632
17 1 1.071
17 1 0.793
17 1 0.755
17 1 1.143
17 1 1.071
17 1 0.681
17 1 0.906
17 1 0.64
17 1 0.742
17 1 1.219
17 1 1.167
17 1 1.069
17 1 0.727
17 1 0.57
17 1 0.646
17 1 1.028
17 1 0.771
17 1 0.545
17 1 0.79
17 1 1.155
17 1 0.954
17 1 0.692
17 1 0.604
17 1 0.691
17 1 0.828
17 1 1.012
17 1 0.565
17 1 1.047
17 1 0.823
17 1 0.937
17 1 0.593
17 1 0.713
17 1 0.746
17 1 1.052
17 1 1.048
17 1 0.908
17 1 1.215
17 1 0.736
17 1 1.044
17 1 0.815
17 1 0.713
17 1 1.021
17 2 1.235
17 2 1.084
17 2 0.783
17 2 0.789
17 2 1.234
17 2 0.953
17 2 1.071
17 2 0.812
17 2 1.197
17 2 0.735
17 2 1.018
17 2 0.733
17 2 0.544
17 2 0.661
17 2 0.905
17 2 1.086
17 2 0.612
17 2 0.672
17 2 1.37
17 2 0.796
17 2 0.989
17 2 0.78
17 2 0.82
17 2 0.895
17 2 0.879
17 2 0.839
17 2 0.789
17 2 0.498
17 2 1.409
17 2 1.379
17 2 0.692
17 2 0.844
17 2 1.233
17 2 1.118
17 2 1.202
17 2 0.696
17 2 1.722
17 2 0.688
17 2 1.051
17 2 0.906
17 2 0.801
17 2 0.805
17 2 0.708
17 2 1.318
17 2 0.895
17 2 0.932
17 2 0.921
17 2 0.806
17 2 0.688
17 2 0.93
18 1 0.496
18 1 0.548
18 1 0.58
18 1 0.58
18 1 0.724
18 1 1.014
18 1 0.54
18 1 0.775
18 1 0.859
18 1 0.589
18 1 0.7
18 1 0.844
18 1 0.673
18 1 0.678
18 1 0.754
18 1 0.699
18 1 0.636
18 1 0.689
18 1 1.088
18 1 0.854
18 1 0.596
18 1 0.564
18 1 0.66
18 1 0.949
18 1 0.752
18 1 0.619
18 1 0.856
18 1 0.689
18 1 0.576
18 1 0.779
18 1 0.995
18 1 0.775
18 1 0.736
18 1 0.624
18 1 0.798
18 1 0.58
18 1 0.529
18 1 0.702
18 1 0.703
18 1 1.233
18 1 0.566
18 1 0.733
18 1 0.841
18 1 0.889
18 1 0.706
18 1 0.614
18 1 0.699
18 1 1.104
